Condition,Position,Time
 Incongruent,Sitting,9
 Incongruent,Sitting,6
 Incongruent,Sitting,7
 Incongruent,Sitting,7
 Incongruent,Sitting,11
 Incongruent,Sitting,9
 Incongruent,Sitting,7
 Incongruent,Sitting,7
 Incongruent,Sitting,10
 Incongruent,Sitting,9
 Incongruent,Sitting,9
 Incongruent,Sitting,10
 Incongruent,Sitting,9
 Incongruent,Sitting,11
 Incongruent,Sitting,7
 Incongruent,Sitting,11
 Incongruent,Sitting,10
 Incongruent,Sitting,7
 Incongruent,Sitting,10
 Incongruent,Standing,10
 Incongruent,Standing,7
 Incongruent,Standing,8
 Incongruent,Standing,8
 Incongruent,Standing,10
 Incongruent,Standing,9
 Incongruent,Standing,7
 Incongruent,Standing,6
 Incongruent,Standing,9
 Incongruent,Standing,7
 Incongruent,Standing,8
 Incongruent,Standing,7
 Incongruent,Standing,10
 Incongruent,Standing,11
 Incongruent,Standing,6
 Incongruent,Standing,6
 Incongruent,Standing,10
 Incongruent,Standing,11
 Incongruent,Standing,9
 Congruent,Sitting,7
 Congruent,Sitting,5
 Congruent,Sitting,5
 Congruent,Sitting,6
 Congruent,Sitting,4
 Congruent,Sitting,5
 Congruent,Sitting,8
 Congruent,Sitting,5
 Congruent,Sitting,6
 Congruent,Sitting,6
 Congruent,Sitting,8
 Congruent,Sitting,5
 Congruent,Sitting,4
 Congruent,Sitting,8
 Congruent,Sitting,7
 Congruent,Sitting,5
 Congruent,Sitting,5
 Congruent,Sitting,5
 Congruent,Sitting,7
 Congruent,Standing,4
 Congruent,Standing,5
 Congruent,Standing,5
 Congruent,Standing,6
 Congruent,Standing,6
 Congruent,Standing,6
 Congruent,Standing,5
 Congruent,Standing,6
 Congruent,Standing,7
 Congruent,Standing,6
 Congruent,Standing,8
 Congruent,Standing,7
 Congruent,Standing,6
 Congruent,Standing,4
 Congruent,Standing,8
 Congruent,Standing,5
 Congruent,Standing,7
 Congruent,Standing,7
 Congruent,Standing,5